name,coord,type
Stasiun Bekasi,"-6.236452519702963, 106.99902263507958",KRL
Stasiun Kranji,"-6.224559965074415, 106.97983792429619",KRL
Stasiun Cakung,"-6.219063444531133, 106.95245496447104",KRL
Stasiun Klender Baru,"-6.21757654325752, 106.94006604149578",KRL
Stasiun Buaran,"-6.215528540341518, 106.92324645587306",KRL
Stasiun Klender,"-6.213340254332606, 106.89942811646813",KRL
Stasiun Matraman,"-6.212504038173282, 106.85997269823321",KRL
Stasiun Jatinegara,"-6.214907831126655, 106.87026766989867",KRL
Stasiun Pondok Jati,"-6.209202723779741, 106.86227115591612",KRL
Stasiun Kramat,"-6.193555801876327, 106.8563606854862",KRL
Stasiun Sentiong,"-6.185978591510663, 106.85067898122125",KRL
Stasiun Pasar Senen,"-6.17477794619444, 106.84434442412666",KRL
Stasiun Kemayoran,"-6.161728943211264, 106.84137946779475",KRL
Stasiun Rajawali,"-6.145052084118421, 106.83670555675293",KRL
Stasiun Ancol,"-6.128033527017576, 106.84511913835017",KRL
Stasiun Tanjung Priuk,"-6.110960635018485, 106.88118847692246",KRL
Stasiun Kampung Bandan,"-6.132555197611858, 106.82854441135865",KRL
Stasiun Jakarta Kota,"-6.137574962576363, 106.81461096145411",KRL
Stasiun Jayakarta,"-6.141228288832884, 106.82298667927041",KRL
Stasiun Mangga Besar,"-6.149776934002404, 106.82701779643958",KRL
Stasiun Sawah Besar,"-6.1606709682837435, 106.82764003543963",KRL
Stasiun Juanda,"-6.166731428058322, 106.83043471652657",KRL
Stasiun Gambir,"-6.1765834679676415, 106.83057168956573",KRL
Stasiun Gondangdia,"-6.185970179960048, 106.8326553688408",KRL
Stasiun Cikini,"-6.198513677594244, 106.84123843768863",KRL
Stasiun Manggarai,"-6.209899630011806, 106.85020774463406",KRL
Stasiun Matraman,"-6.212447999429567, 106.85996104501663",KRL
Stasiun Tebet,"-6.226113492160806, 106.85830005304449",KRL
Stasiun Cawang,"-6.242487187930089, 106.85880953570387",KRL
Stasiun Duren Kalibata,"-6.2553197846509, 106.8550549476092",KRL
Stasiun Pasar Minggu Baru,"-6.262839215717568, 106.85184764218069",KRL
Stasiun Pasar Minggu,"-6.284183353364667, 106.84456943726511",KRL
Stasiun Tanjung Barat,"-6.307812062660681, 106.8388538916858",KRL
Stasiun Lenteng Agung,"-6.330373733150053, 106.83480928803392",KRL
Stasiun Universitas Pancasila,"-6.338894754107012, 106.83444539340779",KRL
Stasiun Universitas Indonesia,"-6.3607406515559, 106.83173536233241",KRL
Stasiun Pondok Cina,"-6.369080274370981, 106.83220785828186",KRL
Stasiun Depok Baru,"-6.391107787188948, 106.82161063423528",KRL
Stasiun Depok,"-6.405263168797792, 106.81719910886581",KRL
Stasiun Sudirman,"-6.202272184967866, 106.82319647847244",KRL
Stasiun Kebayoran,"-6.237327084808953, 106.78243529190046",KRL
Stasiun Palmerah,"-6.207524283149404, 106.79738870782181",KRL
Stasiun Tanah Abang,"-6.185710233273896, 106.81085133586684",KRL
Stasiun Karet,"-6.20082515030766, 106.81577379770182",KRL
Stasiun BNI City,"-6.201585621752708, 106.81970019062372",KRL
Stasiun Pondok Ranji,"-6.276368876111681, 106.7449207470694",KRL
Stasiun Duri,"-6.155249801417344, 106.80124948548371",KRL
Stasiun Grogol,"-6.162034829908736, 106.78936704392633",KRL
Stasiun Pesing,"-6.161258346111902, 106.77144311663434",KRL
Stasiun Taman Kota,"-6.1586290996938855, 106.75687236501939",KRL
Stasiun Bojong Indah,"-6.159830985069896, 106.7372740435433",KRL
Stasiun Bundaran HI,"-6.191880343721056, 106.82295488776612",MRT
Stasiun Dukuh Atas BNI,"-6.20079853432312, 106.82279432246709",MRT
Stasiun Setiabudi Astra,"-6.20885946225622, 106.82149760904498",MRT
Stasiun Bendungan Hilir,"-6.215002885243597, 106.81795311194979",MRT
Stasiun Rawa Buaya,"-6.162766049652384, 106.72361830355773",KRL
Stasiun Cikarang,"-6.255360497136387, 107.14510819426499",KRL
Stasiun Pegangsaan Dua,"-6.155830922508078, 106.91421546140542",LRT